CASE,QUESTNNR,RG02_01,TR02_01,response,direction,,"0 = summary; 1= response; 2=copy-pase, 3= other, 4=incomplete"
577,russia,1,19 сентября 2021 года пройдут выборы.Голосовать будут более 110 миллионов россиян,0,,,
584,russia,1,"В сентябре 2021 года пройдут выбору в ГосДуму, сейчас в ней 4 партии",0,,,
585,russia,1,В сентябре люди которые имеют право голосовать смогут сделать выбор за своего кандидата в госдуму РФ.,0,,,
594,russia,1,"выборы есть, а выбора нет",1,1,,
624,russia,1,Выборы в госдуму осенью.450 мест в парламенте.Прошли 4 партии,0,,,
629,russia,1,Выборы закончились. В парламент прошли четыре партии.....,0,,,
634,russia,1,Более 2000 кандидатов примут участие в голосовании 19 сентября 2021 года. Определить депутатов гос думы смогут 110 миллионов россиян. По итогам голосования только четыре партии получат место в парламенте,0,,,
643,russia,1,В России должны состоятся выборы в Государственную думу. Выбрать кандидатов  смогут 80% россиян.,0,,,
645,russia,1,19 сентября 2021 года пройдут выборы. В государственную думу выберут кондидатов на 450 мест. В голосовании примут участие более 110 россиян.,0,,,
646,russia,1,"19сентября в России состоятся выборы депутатов Государственной думы, в которых примут участие более 2000 зарегистрированных кандидатов.",0,,,
648,russia,1,В сентябре этого года должны пройти выборы. Более 110 миллионов Россиян смогут в них учавствовать,0,,,
652,russia,1,"Допустим,прошли выборы в Государственную Думу и по итогам голосования, четыре партии получили места в парламенте.",0,,,
662,russia,1,"19.09.2021 выборы, 450 мест на 2000 кандидатов, 110 млн голосующих",0,,,
665,russia,1,"Следующие выборы в Гос Думу предположительно закончатся с тем же результатом, что и предыдущие - 4 партии получат места в парламенте",0,,,
673,russia,1,19 сентября состоятся выборы в думу.Ожидается более 2000 кандидатов.,0,,,
814,russia,1,В конце года пройдут выборы в гос думу из числа 2000 кандидатов выберут 450,0,,,
820,russia,1,В воскресенье состоялись выборы депутатов Государственной Думы.По итогам голосования четыре партии получили места в парламенте.,0,,,
821,russia,1,19 сентября 2021 года в Росии будут выборы.все Россияни смогут проголосовать.,0,,,
822,russia,1,Будет голосование за кандидатов из четырех партий,0,,,
825,russia,1,19 сентября будут выборы депутатов Госдумы. около 2000 кандидатов будут бороться за  за места в парламенте. голосовать за депутатов смогут более 110 млн граждан России.,0,,,
826,russia,1,"Ожидатся выборы и есть вероятность, что состав останется тот же что и сейчас",0,,,
830,russia,1,Выборы в России депутатов Госдумы. Четыре партии получили места.,0,,,
832,russia,1,"В сентябре 2021 года произошли выборы в Государственную Думу, в парлменте получили места четыре партии.",0,,,
836,russia,1,В сентябре будут выборы Гос.Думы.,0,,,
839,russia,1,"19 сентября выборы в думу, 200 заявок, 450 мест",0,,,
843,russia,1,"Очередные фальшивые выборы, с заранее установленными кандидатами.",1,1,,
844,russia,1,я очень надеюс что выбори будут честними,1,,,
845,russia,1,четыре партити получили места в парламенте после выборов,0,,,
852,russia,1,"В воскресенье, 19.04.2021 г.  в России должны состояться выборы депутатов Государственной Думы примут участие в борьбе за 450 мест в парламенте.исход выборов смогут решить более 110 миллионов россиян.",0,,,
856,russia,1,В сентябре ожидаются выборы депутатов,0,,,
860,russia,1,В России состоятся выборы депутатов ГосДумы 19 сентября 2021 года. Участие примут более 2000 кандидатов. Участвовать в выборах смогут более 110 миллионов человек.,0,,,
868,russia,1,Супер,3,,,
869,russia,1,Состоялись выборы в Думу в сентябре. Прошо четыре партии.,0,,,
886,russia,1,19 сентября 2021 года в России пройдут выборы депутатов Государственной думы. Определить результат выборов смогут болле 110 миллионов россиян,0,,,
890,russia,1,выборы кандидатов,0,,,
892,russia,1,Осенью в России пройдут выборы в Государственную Думу. По их итогам четыре партии получили места в парламенте.,0,,,
901,russia,1,в сентебре пройдут выборы. выберут те же партии.,0,,,
902,russia,1,Выборы пройдут 19 сентября 2021 года в депутаты Государственную Думу. Зарегистрировано  более 2000 кандидатов.,0,,,
